No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
1,"Boise vs Capital Golden Eagles Boise",Football,"Idaho",08/27/2026,07:00 PM,"The Capital Golden Eagles Boise varsity football team has an away non-conference game @ Boise (Idaho) on Thursday, August 27 @ 7p.","/id/football/game/boise-vs-capital-golden-eagles-boise/8-27-2026/?c=9243c990-876b-4ad2-95c0-42f6a03180e3","https://www.maxpreps.com/id/football/game/boise-vs-capital-golden-eagles-boise/8-27-2026/?c=9243c990-876b-4ad2-95c0-42f6a03180e3"
2,"Dietrich vs Murtaugh",Football,"Idaho",08/27/2026,07:00 PM,"The Murtaugh varsity football team has an away non-conference game @ Dietrich (Idaho) on Thursday, August 27 @ 7p.","/id/football/game/dietrich-vs-murtaugh/8-27-2026/?c=e3fb9ebf-5f64-4ff7-b5d8-34f85c1849b1","https://www.maxpreps.com/id/football/game/dietrich-vs-murtaugh/8-27-2026/?c=e3fb9ebf-5f64-4ff7-b5d8-34f85c1849b1"
3,"Kellogg vs Logos Moscow",Football,"Idaho",08/27/2026,07:00 PM,"The Logos Moscow varsity football team has an away non-conference game @ Kellogg (Idaho) on Thursday, August 27 @ 7p.","/id/football/game/kellogg-vs-logos-moscow/8-27-2026/?c=f9f79e49-5516-4b2b-80f0-c10ff0c670da","https://www.maxpreps.com/id/football/game/kellogg-vs-logos-moscow/8-27-2026/?c=f9f79e49-5516-4b2b-80f0-c10ff0c670da"
