No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
60,"Mishawaka vs Penn Mishawaka",Football,"Indiana",08/28/2026,07:00 PM,"The Penn Mishawaka varsity football team has an away non-conference game @ Mishawaka (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/mishawaka-vs-penn-mishawaka/8-28-2026/?c=21503d9a-7aa8-47d8-9a18-3ab47d175e5d","https://www.maxpreps.com/in/football/game/mishawaka-vs-penn-mishawaka/8-28-2026/?c=21503d9a-7aa8-47d8-9a18-3ab47d175e5d"
61,"Boonville vs Mt Vernon",Football,"Indiana",08/28/2026,07:00 PM,"The Mt Vernon varsity football team has an away non-conference game @ Boonville (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/boonville-vs-mt-vernon/8-28-2026/?c=4337d9ce-99b3-483f-8744-3dc30fceff6a","https://www.maxpreps.com/in/football/game/boonville-vs-mt-vernon/8-28-2026/?c=4337d9ce-99b3-483f-8744-3dc30fceff6a"
62,"Columbia City vs Northridge Middlebury",Football,"Indiana",08/28/2026,07:00 PM,"The Northridge Middlebury varsity football team has an away non-conference game @ Columbia City (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/columbia-city-vs-northridge-middlebury/8-28-2026/?c=5e7144a8-581b-44c9-9ba1-3fb504dd93d1","https://www.maxpreps.com/in/football/game/columbia-city-vs-northridge-middlebury/8-28-2026/?c=5e7144a8-581b-44c9-9ba1-3fb504dd93d1"
63,"Marion vs Mississinewa Gas City",Football,"Indiana",08/28/2026,07:00 PM,"The Mississinewa Gas City varsity football team has an away non-conference game @ Marion (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/marion-vs-mississinewa-gas-city/8-28-2026/?c=0d248b28-115c-41f0-aadb-3753e889bad8","https://www.maxpreps.com/in/football/game/marion-vs-mississinewa-gas-city/8-28-2026/?c=0d248b28-115c-41f0-aadb-3753e889bad8"
64,"Monroe Central Parker City vs Union City",Football,"Indiana",08/28/2026,07:00 PM,"The Union City varsity football team has an away non-conference game @ Monroe Central Parker City (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/monroe-central-parker-city-vs-union-city/8-28-2026/?c=4c6b7e05-d452-435a-a799-3647d0f65471","https://www.maxpreps.com/in/football/game/monroe-central-parker-city-vs-union-city/8-28-2026/?c=4c6b7e05-d452-435a-a799-3647d0f65471"
65,"North Posey Poseyville vs Tecumseh Lynnville",Football,"Indiana",08/28/2026,07:00 PM,"The Tecumseh Lynnville varsity football team has an away non-conference game @ North Posey Poseyville (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/north-posey-poseyville-vs-tecumseh-lynnville/8-28-2026/?c=ea8fc3e0-79c5-4dc7-bf72-2ff6145c2a73","https://www.maxpreps.com/in/football/game/north-posey-poseyville-vs-tecumseh-lynnville/8-28-2026/?c=ea8fc3e0-79c5-4dc7-bf72-2ff6145c2a73"
66,"Caston Fulton vs North White Monon",Football,"Indiana",08/28/2026,07:00 PM,"The North White Monon varsity football team has an away non-conference game @ Caston Fulton (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/caston-fulton-vs-north-white-monon/8-28-2026/?c=daad51fc-a9ff-45e7-bb9a-cd404a405ea6","https://www.maxpreps.com/in/football/game/caston-fulton-vs-north-white-monon/8-28-2026/?c=daad51fc-a9ff-45e7-bb9a-cd404a405ea6"
67,"Concord Elkhart vs Jimtown Elkhart",Football,"Indiana",08/28/2026,07:00 PM,"The Jimtown Elkhart varsity football team has an away non-conference game @ Concord Elkhart (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/concord-elkhart-vs-jimtown-elkhart/8-28-2026/?c=b4055584-51a8-4978-b8da-5f306d7e33a9","https://www.maxpreps.com/in/football/game/concord-elkhart-vs-jimtown-elkhart/8-28-2026/?c=b4055584-51a8-4978-b8da-5f306d7e33a9"
68,"Covington vs Purdue Polytechnic Indianapolis",Football,"Indiana",08/28/2026,07:00 PM,"The Purdue Polytechnic Indianapolis varsity football team has an away non-conference game @ Covington (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/covington-vs-purdue-polytechnic-indianapolis/8-28-2026/?c=c85047d0-ac64-49d4-b488-97f1e9bc757a","https://www.maxpreps.com/in/football/game/covington-vs-purdue-polytechnic-indianapolis/8-28-2026/?c=c85047d0-ac64-49d4-b488-97f1e9bc757a"
69,"Columbus East vs Columbus North",Football,"Indiana",08/28/2026,07:00 PM,"The Columbus North varsity football team has an away non-conference game @ Columbus East (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/columbus-east-vs-columbus-north/8-28-2026/?c=22fbdd8d-b87c-4294-b438-7cc11ba1ca45","https://www.maxpreps.com/in/football/game/columbus-east-vs-columbus-north/8-28-2026/?c=22fbdd8d-b87c-4294-b438-7cc11ba1ca45"
70,"Park Tudor Indianapolis vs Tindley Indianapolis",Football,"Indiana",08/28/2026,07:00 PM,"The Tindley Indianapolis varsity football team has an away non-conference game @ Park Tudor Indianapolis (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/park-tudor-indianapolis-vs-tindley-indianapolis/8-28-2026/?c=ea02ba74-46c3-46ac-a1cb-4461c378f984","https://www.maxpreps.com/in/football/game/park-tudor-indianapolis-vs-tindley-indianapolis/8-28-2026/?c=ea02ba74-46c3-46ac-a1cb-4461c378f984"
71,"Anderson vs Indianapolis Washington",Football,"Indiana",08/28/2026,07:00 PM,"The Indianapolis Washington varsity football team has an away non-conference game @ Anderson (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/anderson-vs-indianapolis-washington/8-28-2026/?c=23465a21-b44a-4261-9371-a58e9a1b9d39","https://www.maxpreps.com/in/football/game/anderson-vs-indianapolis-washington/8-28-2026/?c=23465a21-b44a-4261-9371-a58e9a1b9d39"
72,"Jeffersonville vs Seymour",Football,"Indiana",08/28/2026,07:00 PM,"The Seymour varsity football team has an away non-conference game @ Jeffersonville (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/jeffersonville-vs-seymour/8-28-2026/?c=80566f45-83f7-41ae-b6b4-da0321a6a951","https://www.maxpreps.com/in/football/game/jeffersonville-vs-seymour/8-28-2026/?c=80566f45-83f7-41ae-b6b4-da0321a6a951"
73,"Delta Muncie vs Heritage Monroeville",Football,"Indiana",08/28/2026,07:00 PM,"The Heritage Monroeville varsity football team has an away non-conference game @ Delta Muncie (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/delta-muncie-vs-heritage-monroeville/8-28-2026/?c=dcde5e1f-1c3b-4cc9-9187-e9b49d9c35c7","https://www.maxpreps.com/in/football/game/delta-muncie-vs-heritage-monroeville/8-28-2026/?c=dcde5e1f-1c3b-4cc9-9187-e9b49d9c35c7"
74,"Fort Wayne South Side vs South Bend Saint Joseph",Football,"Indiana",08/28/2026,07:00 PM,"The South Bend Saint Joseph varsity football team has an away non-conference game @ Fort Wayne South Side (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/fort-wayne-south-side-vs-south-bend-saint-joseph/8-28-2026/?c=b34f8e5d-32b0-4a12-86e6-9ae63a3e07b5","https://www.maxpreps.com/in/football/game/fort-wayne-south-side-vs-south-bend-saint-joseph/8-28-2026/?c=b34f8e5d-32b0-4a12-86e6-9ae63a3e07b5"
75,"Eastern Greentown vs Northwestern Kokomo",Football,"Indiana",08/28/2026,07:00 PM,"The Northwestern Kokomo varsity football team has an away non-conference game @ Eastern Greentown (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/eastern-greentown-vs-northwestern-kokomo/8-28-2026/?c=03fc538c-e1b7-4a1e-9c4e-1c0e71339324","https://www.maxpreps.com/in/football/game/eastern-greentown-vs-northwestern-kokomo/8-28-2026/?c=03fc538c-e1b7-4a1e-9c4e-1c0e71339324"
76,"North Newton Morocco vs Rensselaer Central",Football,"Indiana",08/28/2026,07:00 PM,"The Rensselaer Central varsity football team has an away non-conference game @ North Newton Morocco (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/north-newton-morocco-vs-rensselaer-central/8-28-2026/?c=d2eec64e-0745-4cec-b08f-6a14bf61f8a6","https://www.maxpreps.com/in/football/game/north-newton-morocco-vs-rensselaer-central/8-28-2026/?c=d2eec64e-0745-4cec-b08f-6a14bf61f8a6"
77,"Crimson Knights Indianapolis vs Phalen Leadership Academy Indianapolis",Football,"Indiana",08/28/2026,07:00 PM,"The Phalen Leadership Academy Indianapolis varsity football team has an away non-conference game @ Crimson Knights Indianapolis (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/crimson-knights-indianapolis-vs-phalen-leadership-academy-indianapolis/8-28-2026/?c=0af571aa-bb72-43df-9090-57a70a0d0de5","https://www.maxpreps.com/in/football/game/crimson-knights-indianapolis-vs-phalen-leadership-academy-indianapolis/8-28-2026/?c=0af571aa-bb72-43df-9090-57a70a0d0de5"
78,"Culver Community vs West Central Francesville",Football,"Indiana",08/28/2026,07:00 PM,"The West Central Francesville varsity football team has an away non-conference game @ Culver Community (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/culver-community-vs-west-central-francesville/8-28-2026/?c=817a5671-6bc0-4b76-be22-3123ec91cd46","https://www.maxpreps.com/in/football/game/culver-community-vs-west-central-francesville/8-28-2026/?c=817a5671-6bc0-4b76-be22-3123ec91cd46"
79,"Bremen vs Triton Bourbon",Football,"Indiana",08/28/2026,07:00 PM,"The Triton Bourbon varsity football team has an away non-conference game @ Bremen (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/bremen-vs-triton-bourbon/8-28-2026/?c=951ba0ce-cfec-41e3-b993-828bdfd4e7a3","https://www.maxpreps.com/in/football/game/bremen-vs-triton-bourbon/8-28-2026/?c=951ba0ce-cfec-41e3-b993-828bdfd4e7a3"
80,"East Noble Kendallville vs Fort Wayne Snider",Football,"Indiana",08/28/2026,07:00 PM,"The Fort Wayne Snider varsity football team has an away non-conference game @ East Noble Kendallville (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/east-noble-kendallville-vs-fort-wayne-snider/8-28-2026/?c=f15bfb19-a306-4229-99ca-3786b7577142","https://www.maxpreps.com/in/football/game/east-noble-kendallville-vs-fort-wayne-snider/8-28-2026/?c=f15bfb19-a306-4229-99ca-3786b7577142"
81,"Mitchell vs Springs Valley French Lick",Football,"Indiana",08/28/2026,07:00 PM,"The Springs Valley French Lick varsity football team has an away non-conference game @ Mitchell (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/mitchell-vs-springs-valley-french-lick/8-28-2026/?c=f747c142-6b0a-4dbb-8a6b-ef28210bbdb6","https://www.maxpreps.com/in/football/game/mitchell-vs-springs-valley-french-lick/8-28-2026/?c=f747c142-6b0a-4dbb-8a6b-ef28210bbdb6"
82,"Blackford Hartford City vs Wes Del Gaston",Football,"Indiana",08/28/2026,07:00 PM,"The Wes Del Gaston varsity football team has an away non-conference game @ Blackford Hartford City (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/blackford-hartford-city-vs-wes-del-gaston/8-28-2026/?c=0b539a10-8318-4256-9f94-3e3e48ff4583","https://www.maxpreps.com/in/football/game/blackford-hartford-city-vs-wes-del-gaston/8-28-2026/?c=0b539a10-8318-4256-9f94-3e3e48ff4583"
83,"Cascade Clayton vs Danville",Football,"Indiana",08/28/2026,07:00 PM,"The Danville varsity football team has an away non-conference game @ Cascade Clayton (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/cascade-clayton-vs-danville/8-28-2026/?c=ce45fb8a-0ab9-4e1b-bbd9-61ebf77549c7","https://www.maxpreps.com/in/football/game/cascade-clayton-vs-danville/8-28-2026/?c=ce45fb8a-0ab9-4e1b-bbd9-61ebf77549c7"
84,"Logansport vs South Bend Adams",Football,"Indiana",08/28/2026,07:00 PM,"The South Bend Adams varsity football team has an away non-conference game @ Logansport (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/logansport-vs-south-bend-adams/8-28-2026/?c=e0230efc-4be0-481a-980a-de550f600b1b","https://www.maxpreps.com/in/football/game/logansport-vs-south-bend-adams/8-28-2026/?c=e0230efc-4be0-481a-980a-de550f600b1b"
85,"Bellmont Decatur vs South Adams Berne",Football,"Indiana",08/28/2026,07:00 PM,"The South Adams Berne varsity football team has an away non-conference game @ Bellmont Decatur (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/bellmont-decatur-vs-south-adams-berne/8-28-2026/?c=bb29a84f-5087-48bb-b9fe-f76e92dc0f5b","https://www.maxpreps.com/in/football/game/bellmont-decatur-vs-south-adams-berne/8-28-2026/?c=bb29a84f-5087-48bb-b9fe-f76e92dc0f5b"
86,"Perry Meridian Indianapolis vs Southport Indianapolis",Football,"Indiana",08/28/2026,07:00 PM,"The Southport Indianapolis varsity football team has an away non-conference game @ Perry Meridian Indianapolis (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/perry-meridian-indianapolis-vs-southport-indianapolis/8-28-2026/?c=99bbffd2-258e-4c45-bcc1-5a6aac3eb2c7","https://www.maxpreps.com/in/football/game/perry-meridian-indianapolis-vs-southport-indianapolis/8-28-2026/?c=99bbffd2-258e-4c45-bcc1-5a6aac3eb2c7"
87,"Frankton vs Lapel",Football,"Indiana",08/28/2026,07:00 PM,"The Lapel varsity football team has an away non-conference game @ Frankton (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/frankton-vs-lapel/8-28-2026/?c=0b40b6b8-cf8e-40bb-8cc5-7440588ff4ba","https://www.maxpreps.com/in/football/game/frankton-vs-lapel/8-28-2026/?c=0b40b6b8-cf8e-40bb-8cc5-7440588ff4ba"
88,"Frontier Chalmers vs Winamac",Football,"Indiana",08/28/2026,07:00 PM,"The Winamac varsity football team has an away non-conference game @ Frontier Chalmers (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/frontier-chalmers-vs-winamac/8-28-2026/?c=caaf0476-ce79-4666-9a18-ac10e4928627","https://www.maxpreps.com/in/football/game/frontier-chalmers-vs-winamac/8-28-2026/?c=caaf0476-ce79-4666-9a18-ac10e4928627"
89,"Bluffton vs Churubusco",Football,"Indiana",08/28/2026,07:00 PM,"The Churubusco varsity football team has an away non-conference game @ Bluffton (Indiana) on Thursday, August 27 @ 7p.","/in/football/game/bluffton-vs-churubusco/8-28-2026/?c=4914d356-6ef9-4105-abd2-2f6a037acac4","https://www.maxpreps.com/in/football/game/bluffton-vs-churubusco/8-28-2026/?c=4914d356-6ef9-4105-abd2-2f6a037acac4"
