No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
1,"Brecksville Broadview Heights vs North Royalton",Football,"Ohio",08/27/2026,07:00 PM,"The North Royalton varsity football team has an away non-conference game @ Brecksville Broadview Heights (Ohio) on Thursday, August 27 @ 7p.","/oh/football/game/brecksville-broadview-heights-vs-north-royalton/8-27-2026/?c=278a6c9d-4d6a-42c6-8f52-f70907dcd807","https://www.maxpreps.com/oh/football/game/brecksville-broadview-heights-vs-north-royalton/8-27-2026/?c=278a6c9d-4d6a-42c6-8f52-f70907dcd807"
2,"Perkins Sandusky vs Scott Toledo",Football,"Ohio",08/27/2026,07:00 PM,"The Scott Toledo varsity football team has an away non-conference game @ Perkins Sandusky (Ohio) on Thursday, August 27 @ 7p.","/oh/football/game/perkins-sandusky-vs-scott-toledo/8-27-2026/?c=dc89eecd-135f-4a37-9bf7-30cabd5aa747","https://www.maxpreps.com/oh/football/game/perkins-sandusky-vs-scott-toledo/8-27-2026/?c=dc89eecd-135f-4a37-9bf7-30cabd5aa747"
3,"Dunbar Dayton vs Stivers School For The Arts Dayton",Football,"Ohio",08/27/2026,07:00 PM,"The Stivers School For The Arts Dayton varsity football team has an away non-conference game @ Dunbar Dayton (Ohio) on Thursday, August 27 @ 7p.","/oh/football/game/dunbar-dayton-vs-stivers-school-for-the-arts-dayton/8-27-2026/?c=c5faac5e-750d-400c-84b3-b0955edc20c3","https://www.maxpreps.com/oh/football/game/dunbar-dayton-vs-stivers-school-for-the-arts-dayton/8-27-2026/?c=c5faac5e-750d-400c-84b3-b0955edc20c3"
4,"Deer Park Cincinnati vs Shroder Paideia Academy Cincinnati",Football,"Ohio",08/27/2026,07:00 PM,"The Shroder Paideia Academy Cincinnati varsity football team has an away non-conference game @ Deer Park Cincinnati (Ohio) on Thursday, August 27 @ 7p.","/oh/football/game/deer-park-cincinnati-vs-shroder-paideia-academy-cincinnati/8-27-2026/?c=63577abb-a5b2-43c4-b695-240f1a802b2a","https://www.maxpreps.com/oh/football/game/deer-park-cincinnati-vs-shroder-paideia-academy-cincinnati/8-27-2026/?c=63577abb-a5b2-43c4-b695-240f1a802b2a"
5,"Mckinley Sebring vs Valley Christian Youngstown",Football,"Ohio",08/27/2026,07:00 PM,"The Valley Christian Youngstown varsity football team has an away non-conference game @ Mckinley Sebring (Ohio) on Thursday, August 27 @ 7p.","/oh/football/game/mckinley-sebring-vs-valley-christian-youngstown/8-27-2026/?c=a679d194-ee71-4e0f-8950-06bdb18f91d5","https://www.maxpreps.com/oh/football/game/mckinley-sebring-vs-valley-christian-youngstown/8-27-2026/?c=a679d194-ee71-4e0f-8950-06bdb18f91d5"
