No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
1,"Brusly vs Episcopal Baton Rouge",Football,"Louisiana",08/27/2026,07:00 PM,"The Episcopal Baton Rouge varsity football team has an away non-conference game @ Brusly (Louisiana) on Thursday, August 27 @ 7p.","/la/football/game/brusly-vs-episcopal-baton-rouge/8-27-2026/?c=b3d248e3-9a4c-4d96-93ce-2de3458d6330","https://www.maxpreps.com/la/football/game/brusly-vs-episcopal-baton-rouge/8-27-2026/?c=b3d248e3-9a4c-4d96-93ce-2de3458d6330"
2,"First Baptist Christian Lafayette vs Northshore Vultures Covington",Football,"Louisiana",08/27/2026,07:00 PM,"The Northshore Vultures Covington varsity football team has an away non-conference game @ First Baptist Christian Lafayette (Louisiana) on Thursday, August 27 @ 7p.","/la/football/game/first-baptist-christian-lafayette-vs-northshore-vultures-covington/8-27-2026/?c=3387950a-11c5-45f0-b619-6e8d072ac172","https://www.maxpreps.com/la/football/game/first-baptist-christian-lafayette-vs-northshore-vultures-covington/8-27-2026/?c=3387950a-11c5-45f0-b619-6e8d072ac172"
3,"John Paul The Great Academy Lafayette vs Midstate Homeschool Alexandria",Football,"Louisiana",08/27/2026,07:00 PM,"The Midstate Homeschool Alexandria varsity football team has an away non-conference game @ John Paul The Great Academy Lafayette (Louisiana) on Thursday, August 27 @ 7p.","/la/football/game/john-paul-the-great-academy-lafayette-vs-midstate-homeschool-alexandria/8-27-2026/?c=195350b2-b939-4da3-a3ee-db5e7d2b2e71","https://www.maxpreps.com/la/football/game/john-paul-the-great-academy-lafayette-vs-midstate-homeschool-alexandria/8-27-2026/?c=195350b2-b939-4da3-a3ee-db5e7d2b2e71"
