No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
378,"Pharr San Juan Alamo Memorial vs Pharr San Juan Alamo Southwest",Football,"Texas",08/28/2026,07:00 PM,"The Pharr San Juan Alamo Southwest varsity football team has an away non-conference game @ Pharr San Juan Alamo Memorial (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/pharr-san-juan-alamo-memorial-vs-pharr-san-juan-alamo-southwest/8-28-2026/?c=5f2bc605-52db-4931-88fe-67959d37a64e","https://www.maxpreps.com/tx/football/game/pharr-san-juan-alamo-memorial-vs-pharr-san-juan-alamo-southwest/8-28-2026/?c=5f2bc605-52db-4931-88fe-67959d37a64e"
379,"Hooks vs Mineola",Football,"Texas",08/28/2026,07:00 PM,"The Mineola varsity football team has an away non-conference game @ Hooks (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/hooks-vs-mineola/8-28-2026/?c=fdcfd7f3-97d1-4596-b320-244919e9cf7b","https://www.maxpreps.com/tx/football/game/hooks-vs-mineola/8-28-2026/?c=fdcfd7f3-97d1-4596-b320-244919e9cf7b"
380,"Southwest Christian School Fort Worth vs Trinity Valley Fort Worth",Football,"Texas",08/28/2026,07:00 PM,"The Trinity Valley Fort Worth varsity football team has an away non-conference game @ Southwest Christian School Fort Worth (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/southwest-christian-school-fort-worth-vs-trinity-valley-fort-worth/8-28-2026/?c=5526ee5e-9b7b-4b9e-bbb3-9f72300fd142","https://www.maxpreps.com/tx/football/game/southwest-christian-school-fort-worth-vs-trinity-valley-fort-worth/8-28-2026/?c=5526ee5e-9b7b-4b9e-bbb3-9f72300fd142"
381,"Cedar Creek vs Travis Austin",Football,"Texas",08/28/2026,07:00 PM,"The Travis Austin varsity football team has an away non-conference game @ Cedar Creek (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/cedar-creek-vs-travis-austin/8-28-2026/?c=69d2ef33-b92c-4119-a8d8-375131e4ab5b","https://www.maxpreps.com/tx/football/game/cedar-creek-vs-travis-austin/8-28-2026/?c=69d2ef33-b92c-4119-a8d8-375131e4ab5b"
382,"Chaparral Killeen vs University Waco",Football,"Texas",08/28/2026,07:00 PM,"The University Waco varsity football team has an away non-conference game @ Chaparral Killeen (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/chaparral-killeen-vs-university-waco/8-28-2026/?c=5e2ba6df-bb08-49af-84bc-ea859b141354","https://www.maxpreps.com/tx/football/game/chaparral-killeen-vs-university-waco/8-28-2026/?c=5e2ba6df-bb08-49af-84bc-ea859b141354"
383,"Kilgore vs Pleasant Grove Texarkana",Football,"Texas",08/28/2026,07:00 PM,"The Pleasant Grove Texarkana varsity football team has an away non-conference game @ Kilgore (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/kilgore-vs-pleasant-grove-texarkana/8-28-2026/?c=20e68c38-d8c7-43e0-8c4e-f15797b5d361","https://www.maxpreps.com/tx/football/game/kilgore-vs-pleasant-grove-texarkana/8-28-2026/?c=20e68c38-d8c7-43e0-8c4e-f15797b5d361"
384,"Beckville vs Joaquin",Football,"Texas",08/28/2026,07:00 PM,"The Joaquin varsity football team has an away non-conference game @ Beckville (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/beckville-vs-joaquin/8-28-2026/?c=c6d80be4-d8aa-4ed3-aa69-f85908b6c418","https://www.maxpreps.com/tx/football/game/beckville-vs-joaquin/8-28-2026/?c=c6d80be4-d8aa-4ed3-aa69-f85908b6c418"
385,"Harker Heights vs Hutto",Football,"Texas",08/28/2026,07:00 PM,"The Hutto varsity football team has an away non-conference game @ Harker Heights (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/harker-heights-vs-hutto/8-28-2026/?c=94a570ae-7cfc-4746-afb1-a155e5a12127","https://www.maxpreps.com/tx/football/game/harker-heights-vs-hutto/8-28-2026/?c=94a570ae-7cfc-4746-afb1-a155e5a12127"
386,"Mcdade vs St Marys Taylor",Football,"Texas",08/28/2026,07:00 PM,"The St Marys Taylor varsity football team has an away non-conference game @ Mcdade (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/mcdade-vs-st-marys-taylor/8-28-2026/?c=8b8577b7-31da-48ea-8e50-16f75cea494d","https://www.maxpreps.com/tx/football/game/mcdade-vs-st-marys-taylor/8-28-2026/?c=8b8577b7-31da-48ea-8e50-16f75cea494d"
387,"Evant vs Gustine",Football,"Texas",08/28/2026,07:00 PM,"The Gustine varsity football team has an away non-conference game @ Evant (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/evant-vs-gustine/8-28-2026/?c=2490777d-6b3a-4b09-8cc4-40d85400872c","https://www.maxpreps.com/tx/football/game/evant-vs-gustine/8-28-2026/?c=2490777d-6b3a-4b09-8cc4-40d85400872c"
388,"Claude vs Motley County Matador",Football,"Texas",08/28/2026,07:00 PM,"The Motley County Matador varsity football team has an away non-conference game @ Claude (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/claude-vs-motley-county-matador/8-28-2026/?c=c5c00075-7fd5-44a5-8440-4ce13213b669","https://www.maxpreps.com/tx/football/game/claude-vs-motley-county-matador/8-28-2026/?c=c5c00075-7fd5-44a5-8440-4ce13213b669"
389,"Bowie Bulldawgs Austin vs Mcneil Austin",Football,"Texas",08/28/2026,07:00 PM,"The Mcneil Austin varsity football team has an away non-conference game @ Bowie Bulldawgs Austin (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/bowie-bulldawgs-austin-vs-mcneil-austin/8-28-2026/?c=5fad276b-ed5e-4ad2-8716-e7bc85501299","https://www.maxpreps.com/tx/football/game/bowie-bulldawgs-austin-vs-mcneil-austin/8-28-2026/?c=5fad276b-ed5e-4ad2-8716-e7bc85501299"
390,"Aspermont vs Blackwell",Football,"Texas",08/28/2026,07:00 PM,"The Blackwell varsity football team has an away non-conference game @ Aspermont (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/aspermont-vs-blackwell/8-28-2026/?c=a701b89c-d0be-498f-b097-994a16cf476a","https://www.maxpreps.com/tx/football/game/aspermont-vs-blackwell/8-28-2026/?c=a701b89c-d0be-498f-b097-994a16cf476a"
391,"Amherst vs Wellman Union",Football,"Texas",08/28/2026,07:00 PM,"The Wellman Union varsity football team has an away non-conference game @ Amherst (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/amherst-vs-wellman-union/8-28-2026/?c=46a0d6ac-dffb-4ceb-a6c6-653fa9440efd","https://www.maxpreps.com/tx/football/game/amherst-vs-wellman-union/8-28-2026/?c=46a0d6ac-dffb-4ceb-a6c6-653fa9440efd"
392,"Honey Grove vs Prairiland Pattonville",Football,"Texas",08/28/2026,07:00 PM,"The Prairiland Pattonville varsity football team has an away non-conference game @ Honey Grove (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/honey-grove-vs-prairiland-pattonville/8-28-2026/?c=97cdea58-2551-4638-9a3c-14870b0303f8","https://www.maxpreps.com/tx/football/game/honey-grove-vs-prairiland-pattonville/8-28-2026/?c=97cdea58-2551-4638-9a3c-14870b0303f8"
393,"Cooper vs Grand Saline",Football,"Texas",08/28/2026,07:00 PM,"The Grand Saline varsity football team has an away non-conference game @ Cooper (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/cooper-vs-grand-saline/8-28-2026/?c=f2a50672-71b2-42ba-b4b2-295bed3f0c99","https://www.maxpreps.com/tx/football/game/cooper-vs-grand-saline/8-28-2026/?c=f2a50672-71b2-42ba-b4b2-295bed3f0c99"
394,"Anton vs Southland",Football,"Texas",08/28/2026,07:00 PM,"The Southland varsity football team has an away non-conference game @ Anton (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/anton-vs-southland/8-28-2026/?c=be323827-2ded-4f44-8498-ee7043169360","https://www.maxpreps.com/tx/football/game/anton-vs-southland/8-28-2026/?c=be323827-2ded-4f44-8498-ee7043169360"
395,"Bowie vs Callisburg Gainesville",Football,"Texas",08/28/2026,07:00 PM,"The Callisburg Gainesville varsity football team has an away non-conference game @ Bowie (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/bowie-vs-callisburg-gainesville/8-28-2026/?c=9088fbc4-606a-4d66-bca6-61696f5daefd","https://www.maxpreps.com/tx/football/game/bowie-vs-callisburg-gainesville/8-28-2026/?c=9088fbc4-606a-4d66-bca6-61696f5daefd"
396,"Da Vinci El Paso vs Marfa",Football,"Texas",08/28/2026,07:00 PM,"The Marfa varsity football team has an away non-conference game @ Da Vinci El Paso (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/da-vinci-el-paso-vs-marfa/8-28-2026/?c=635132d0-107b-4d20-99cc-ae41595bfe1e","https://www.maxpreps.com/tx/football/game/da-vinci-el-paso-vs-marfa/8-28-2026/?c=635132d0-107b-4d20-99cc-ae41595bfe1e"
397,"Frankston vs Winona",Football,"Texas",08/28/2026,07:00 PM,"The Winona varsity football team has an away non-conference game @ Frankston (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/frankston-vs-winona/8-28-2026/?c=edcde82b-9dff-4afd-a26b-a39349d857b2","https://www.maxpreps.com/tx/football/game/frankston-vs-winona/8-28-2026/?c=edcde82b-9dff-4afd-a26b-a39349d857b2"
398,"Diboll vs Troup",Football,"Texas",08/28/2026,07:00 PM,"The Troup varsity football team has an away non-conference game @ Diboll (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/diboll-vs-troup/8-28-2026/?c=12a6a34f-4746-4153-bf8a-71cdee1febcf","https://www.maxpreps.com/tx/football/game/diboll-vs-troup/8-28-2026/?c=12a6a34f-4746-4153-bf8a-71cdee1febcf"
399,"Blum vs Mount Calm",Football,"Texas",08/28/2026,07:00 PM,"The Mount Calm varsity football team has an away non-conference game @ Blum (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/blum-vs-mount-calm/8-28-2026/?c=72174eec-4c66-4e8f-a892-cc602c83411d","https://www.maxpreps.com/tx/football/game/blum-vs-mount-calm/8-28-2026/?c=72174eec-4c66-4e8f-a892-cc602c83411d"
400,"Anderson Shiro vs Lovelady",Football,"Texas",08/28/2026,07:00 PM,"The Lovelady varsity football team has an away non-conference game @ Anderson Shiro (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/anderson-shiro-vs-lovelady/8-28-2026/?c=36715027-b22a-42d7-b389-76275af93dc4","https://www.maxpreps.com/tx/football/game/anderson-shiro-vs-lovelady/8-28-2026/?c=36715027-b22a-42d7-b389-76275af93dc4"
