No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
101,"Pamlico County Bayboro vs Swansboro",Football,"North Carolina",08/28/2026,07:00 PM,"The Swansboro varsity football team has an away non-conference game @ Pamlico County Bayboro (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/pamlico-county-bayboro-vs-swansboro/8-28-2026/?c=c845a357-8bd7-423c-80d8-2dc3f3eef3c5","https://www.maxpreps.com/nc/football/game/pamlico-county-bayboro-vs-swansboro/8-28-2026/?c=c845a357-8bd7-423c-80d8-2dc3f3eef3c5"
102,"Jf Webb Oxford vs Warren County Warrenton",Football,"North Carolina",08/28/2026,07:00 PM,"The Warren County Warrenton varsity football team has an away non-conference game @ Jf Webb Oxford (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/jf-webb-oxford-vs-warren-county-warrenton/8-28-2026/?c=21855c1a-4145-4f6f-8fd7-7d4ee3818e35","https://www.maxpreps.com/nc/football/game/jf-webb-oxford-vs-warren-county-warrenton/8-28-2026/?c=21855c1a-4145-4f6f-8fd7-7d4ee3818e35"
103,"Bethel Assembly Christian Academy Windsor vs Mattamuskeet Swan Quarter",Football,"North Carolina",08/28/2026,07:00 PM,"The Mattamuskeet Swan Quarter varsity football team has an away non-conference game @ Bethel Assembly Christian Academy Windsor (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/bethel-assembly-christian-academy-windsor-vs-mattamuskeet-swan-quarter/8-28-2026/?c=df4b8fdf-30e0-424d-a532-8a5ae9448511","https://www.maxpreps.com/nc/football/game/bethel-assembly-christian-academy-windsor-vs-mattamuskeet-swan-quarter/8-28-2026/?c=df4b8fdf-30e0-424d-a532-8a5ae9448511"
104,"Hobbton Newton Grove vs Triton Erwin",Football,"North Carolina",08/28/2026,07:00 PM,"The Triton Erwin varsity football team has an away non-conference game @ Hobbton Newton Grove (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/hobbton-newton-grove-vs-triton-erwin/8-28-2026/?c=e91973b9-8621-4a45-9bfa-46ce613faea7","https://www.maxpreps.com/nc/football/game/hobbton-newton-grove-vs-triton-erwin/8-28-2026/?c=e91973b9-8621-4a45-9bfa-46ce613faea7"
105,"Leesville Road Raleigh vs Wake Forest",Football,"North Carolina",08/28/2026,07:00 PM,"The Wake Forest varsity football team has an away non-conference game @ Leesville Road Raleigh (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/leesville-road-raleigh-vs-wake-forest/8-28-2026/?c=42730a7b-e9a6-4eb9-b13a-172d5f2bfc7a","https://www.maxpreps.com/nc/football/game/leesville-road-raleigh-vs-wake-forest/8-28-2026/?c=42730a7b-e9a6-4eb9-b13a-172d5f2bfc7a"
106,"South Columbus Tabor City vs West Columbus Cerro Gordo",Football,"North Carolina",08/28/2026,07:00 PM,"The West Columbus Cerro Gordo varsity football team has an away non-conference game @ South Columbus Tabor City (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/south-columbus-tabor-city-vs-west-columbus-cerro-gordo/8-28-2026/?c=67c16203-58f5-4b20-bfa3-805a59aea9eb","https://www.maxpreps.com/nc/football/game/south-columbus-tabor-city-vs-west-columbus-cerro-gordo/8-28-2026/?c=67c16203-58f5-4b20-bfa3-805a59aea9eb"
107,"Tc Roberson Asheville vs Watauga Boone",Football,"North Carolina",08/28/2026,07:00 PM,"The Watauga Boone varsity football team has an away non-conference game @ Tc Roberson Asheville (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/tc-roberson-asheville-vs-watauga-boone/8-28-2026/?c=9b09ca1d-b1d5-47ca-81e6-e6177d530d49","https://www.maxpreps.com/nc/football/game/tc-roberson-asheville-vs-watauga-boone/8-28-2026/?c=9b09ca1d-b1d5-47ca-81e6-e6177d530d49"
108,"Enka vs Hayesville",Football,"North Carolina",08/28/2026,07:00 PM,"The Hayesville varsity football team has an away non-conference game @ Enka (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/enka-vs-hayesville/8-28-2026/?c=4f757524-9a12-4666-89cf-43d328db35f5","https://www.maxpreps.com/nc/football/game/enka-vs-hayesville/8-28-2026/?c=4f757524-9a12-4666-89cf-43d328db35f5"
109,"Mcdowell Marion vs Mitchell Bakersville",Football,"North Carolina",08/28/2026,07:00 PM,"The Mitchell Bakersville varsity football team has an away non-conference game @ Mcdowell Marion (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/mcdowell-marion-vs-mitchell-bakersville/8-28-2026/?c=55a72799-7359-4c6d-8482-3dd0400ec2bd","https://www.maxpreps.com/nc/football/game/mcdowell-marion-vs-mitchell-bakersville/8-28-2026/?c=55a72799-7359-4c6d-8482-3dd0400ec2bd"
110,"Ben L Smith Greensboro vs Southern Guilford Greensboro",Football,"North Carolina",08/28/2026,07:00 PM,"The Southern Guilford Greensboro varsity football team has an away non-conference game @ Ben L Smith Greensboro (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/ben-l-smith-greensboro-vs-southern-guilford-greensboro/8-28-2026/?c=bdfc1b8c-dbf1-412d-a8b9-ede3a70ce916","https://www.maxpreps.com/nc/football/game/ben-l-smith-greensboro-vs-southern-guilford-greensboro/8-28-2026/?c=bdfc1b8c-dbf1-412d-a8b9-ede3a70ce916"
111,"North Iredell Olin vs West Iredell Statesville",Football,"North Carolina",08/28/2026,07:00 PM,"The West Iredell Statesville varsity football team has an away non-conference game @ North Iredell Olin (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/north-iredell-olin-vs-west-iredell-statesville/8-28-2026/?c=f2f5d45c-4606-4441-8877-2fc82a3b2902","https://www.maxpreps.com/nc/football/game/north-iredell-olin-vs-west-iredell-statesville/8-28-2026/?c=f2f5d45c-4606-4441-8877-2fc82a3b2902"
112,"Croatan Newport vs Topsail Hampstead",Football,"North Carolina",08/28/2026,07:00 PM,"The Topsail Hampstead varsity football team has an away non-conference game @ Croatan Newport (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/croatan-newport-vs-topsail-hampstead/8-28-2026/?c=8ab7c49f-a0aa-4a1a-84b6-b8a6ed4774b3","https://www.maxpreps.com/nc/football/game/croatan-newport-vs-topsail-hampstead/8-28-2026/?c=8ab7c49f-a0aa-4a1a-84b6-b8a6ed4774b3"
113,"East Surry Pilot Mountain vs Starmount Boonville",Football,"North Carolina",08/28/2026,07:00 PM,"The Starmount Boonville varsity football team has an away non-conference game @ East Surry Pilot Mountain (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/east-surry-pilot-mountain-vs-starmount-boonville/8-28-2026/?c=7a62c2ee-7ad0-479f-9f4e-d7c5b6846b06","https://www.maxpreps.com/nc/football/game/east-surry-pilot-mountain-vs-starmount-boonville/8-28-2026/?c=7a62c2ee-7ad0-479f-9f4e-d7c5b6846b06"
114,"Cuthbertson Waxhaw vs Parkwood Monroe",Football,"North Carolina",08/28/2026,07:00 PM,"The Parkwood Monroe varsity football team has an away non-conference game @ Cuthbertson Waxhaw (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/cuthbertson-waxhaw-vs-parkwood-monroe/8-28-2026/?c=be254407-b9f9-455b-81b0-3e5c6ee9f993","https://www.maxpreps.com/nc/football/game/cuthbertson-waxhaw-vs-parkwood-monroe/8-28-2026/?c=be254407-b9f9-455b-81b0-3e5c6ee9f993"
115,"Al Brown Kannapolis vs Concord",Football,"North Carolina",08/28/2026,07:00 PM,"The Concord varsity football team has an away non-conference game @ Al Brown Kannapolis (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/al-brown-kannapolis-vs-concord/8-28-2026/?c=84a13245-03d6-4598-81f8-28c87863088d","https://www.maxpreps.com/nc/football/game/al-brown-kannapolis-vs-concord/8-28-2026/?c=84a13245-03d6-4598-81f8-28c87863088d"
116,"Northwest Guilford Greensboro vs Page Greensboro",Football,"North Carolina",08/28/2026,07:00 PM,"The Page Greensboro varsity football team has an away non-conference game @ Northwest Guilford Greensboro (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/northwest-guilford-greensboro-vs-page-greensboro/8-28-2026/?c=fe59f480-1302-4f68-8830-0a3e4c3011fd","https://www.maxpreps.com/nc/football/game/northwest-guilford-greensboro-vs-page-greensboro/8-28-2026/?c=fe59f480-1302-4f68-8830-0a3e4c3011fd"
